"","V1","V2","V3","V4","V5","V6","V7","V8"
"296",316.6588042,164.5896388,1.91,97.63,2901.52,25964.82,0.798929041,9130.869126
"297",306.4327886,173.0888468,1.95,97.62,2913.98,26458.31,0.799857417,9372.148315
"298",315.8520403,177.3627385,2.19,98.16,2711.74,25115.76,0.801270576,9719.915552
"299",322.2816173,144.7594565,2.2,99.04,2760.17,25538.46,0.798586841,9449.468259
"300",330.4820237,125.6568357,2.27,98.55,2506.85,23327.46,0.796036184,8934.943634
"301",333.7771463,130.9045382,2.4,97.4,2704.1,24999.67,0.797553904,9091.467053
"302",334.5030415,141.5955694,2.4,97.11,2784.49,25916,0.800925207,8853.453923
"303",329.2366748,147.9153316,2.41,97.69,2834.4,25928.68,0.805443513,9477.807576
"304",324.254404,159.3214124,2.42,98.02,2945.83,26592.91,0.809708338,9110.414295
"305",305.3109191,154.8963965,2.39,99.12,2752.06,24815.04,0.811432012,9353.664956
"306",326.6147493,138.2090136,2.38,98.76,2941.76,26599.96,0.811593606,9063.990849
"307",325.469849,143.127515,2.4,98.38,2980.38,26864.27,0.812949731,9279.071626
"308",314.6262821,134.9584686,2.13,99.98,2926.46,26403.28,0.812908541,8778.792976
"309",322.4535253,141.0232387,2.04,100.11,2976.74,26916.83,0.813545413,9060.42388
"310",339.8712372,134.6674388,1.83,99.42,3037.56,27046.23,0.815405333,9402.517922
"311",332.9576305,140.6672932,1.55,98.89,3140.98,28051.41,0.814968077,9094.667582
"312",334.9494453,147.364723,1.55,98.12,3230.78,28538.44,0.814226644,8989.683249
